timestamp,queue_running,process_count,process_cpu_percent,process_rss_mb,system_load_1m,system_ram_used_mb,system_ram_total_mb,gpu_util_percent,gpu_memory_used_mb,gpu_memory_total_mb,gpu_temperature_c,gpu_power_w,disk_used_gb,disk_free_gb
2026-08-04T20:00:15+08:00,1,2,103.0,1679.8,9.91,77607.6,772407.7,0,1051,32768,29,55.90,1060659.22,13165057.78
2026-08-04T20:00:25+08:00,1,2,103.0,1677.8,10.07,73975.5,772407.7,0,1051,32768,29,55.86,1060659.40,13165099.60
2026-08-04T20:00:35+08:00,1,2,103.0,1677.8,9.45,74318.6,772407.7,0,1051,32768,29,55.86,1060659.61,13165132.39
2026-08-04T20:00:45+08:00,1,2,103.0,1677.8,10.08,75159.3,772407.7,0,1051,32768,29,55.94,1060659.56,13165152.44
2026-08-04T20:00:55+08:00,1,2,102.0,1677.8,11.03,75882.4,772407.7,0,1051,32768,29,55.90,1060658.89,13165156.11
2026-08-04T20:01:05+08:00,1,2,102.0,1677.8,10.94,76718.0,772407.7,0,1051,32768,29,55.90,1060659.26,13165123.74
2026-08-04T20:01:15+08:00,1,2,102.0,1685.6,10.40,78239.2,772407.7,0,5333,32768,29,159.70,1060659.51,13165133.49
2026-08-04T20:01:25+08:00,1,2,102.0,2008.4,9.72,78467.1,772407.7,77,1051,32768,34,72.98,1060659.71,13165094.29
2026-08-04T20:01:35+08:00,1,2,102.0,1935.9,9.46,78488.6,772407.7,94,5483,32768,37,253.37,1060659.96,13165101.04
2026-08-04T20:01:45+08:00,1,2,102.0,1935.9,9.37,78339.0,772407.7,98,5483,32768,37,298.38,1060660.39,13165084.61
2026-08-04T20:01:55+08:00,1,2,102.0,1935.8,9.25,78650.1,772407.7,96,5481,32768,37,296.14,1060660.42,13165072.58
2026-08-04T20:02:05+08:00,1,2,102.0,1936.1,9.50,78962.0,772407.7,96,5261,32768,37,298.58,1060660.40,13165097.60
2026-08-04T20:02:16+08:00,1,2,102.0,1935.8,9.72,79661.1,772407.7,96,5041,32768,37,250.13,1060660.48,13165050.52
2026-08-04T20:02:26+08:00,1,2,102.0,1935.8,9.83,78867.9,772407.7,98,4717,32768,37,259.20,1060660.50,13165020.50
2026-08-04T20:02:36+08:00,1,2,102.0,1935.9,10.17,78934.5,772407.7,75,4395,32768,36,242.84,1060660.59,13164985.41
2026-08-04T20:02:46+08:00,1,2,102.0,1840.2,9.91,79067.9,772407.7,95,6945,32768,36,213.45,1060660.62,13164951.38
2026-08-04T20:02:56+08:00,1,2,102.0,1840.1,10.46,80001.9,772407.7,98,6785,32768,37,283.80,1060660.66,13164886.34
2026-08-04T20:03:06+08:00,1,2,102.0,1839.8,10.47,78322.8,772407.7,97,6505,32768,37,278.46,1060660.74,13164864.26
2026-08-04T20:03:16+08:00,1,2,102.0,1840.2,10.76,78486.4,772407.7,95,6221,32768,37,252.40,1060660.77,13164831.23
2026-08-04T20:03:26+08:00,1,2,102.0,1840.2,10.79,79052.2,772407.7,97,5779,32768,36,263.75,1060655.53,13164781.47
2026-08-04T20:03:36+08:00,1,2,102.0,1839.1,10.58,79535.7,772407.7,80,5637,32768,36,293.71,1060655.57,13164743.43
2026-08-04T20:03:46+08:00,1,2,102.0,1840.4,10.19,80185.3,772407.7,88,5495,32768,36,285.75,1060655.61,13164711.39
2026-08-04T20:03:56+08:00,1,2,102.0,1841.0,9.86,79567.7,772407.7,79,1673,32768,33,151.01,1060655.80,13164690.20
2026-08-04T20:04:06+08:00,1,2,102.0,1840.8,9.35,79748.1,772407.7,77,1351,32768,34,74.00,1060655.85,13165015.15
2026-08-04T20:04:16+08:00,1,2,102.0,2004.5,9.22,80308.9,772407.7,85,1543,32768,35,73.47,1060655.91,13165655.09
2026-08-04T20:04:26+08:00,1,2,102.0,1935.6,9.87,79003.1,772407.7,92,5483,32768,36,147.40,1060655.98,13164604.02
2026-08-04T20:04:36+08:00,1,2,102.0,1935.9,10.03,78979.2,772407.7,95,5481,32768,37,229.67,1060655.99,13164572.01
2026-08-04T20:04:46+08:00,1,2,102.0,1935.9,9.95,79531.8,772407.7,94,5483,32768,38,217.00,1060656.08,13164528.92
2026-08-04T20:04:56+08:00,1,2,102.0,1935.8,9.80,78925.5,772407.7,98,5261,32768,37,276.58,1060656.16,13164498.84
2026-08-04T20:05:06+08:00,1,2,102.0,1935.9,9.22,79225.3,772407.7,94,4817,32768,37,256.29,1060656.23,13164436.77
2026-08-04T20:05:16+08:00,1,2,102.0,1935.9,9.11,78595.5,772407.7,78,4495,32768,36,229.70,1060656.23,13164402.77
2026-08-04T20:05:26+08:00,1,2,102.0,1840.0,8.86,78586.1,772407.7,96,6945,32768,36,215.39,1060656.31,13164371.69
2026-08-04T20:05:37+08:00,1,2,102.0,1839.1,8.88,78288.8,772407.7,97,6787,32768,37,246.73,1060656.36,13164330.64
2026-08-04T20:05:47+08:00,1,2,102.0,1839.4,8.83,78230.4,772407.7,95,6503,32768,37,296.63,1060656.41,13164310.59
2026-08-04T20:05:57+08:00,1,2,102.0,1839.5,9.07,78030.9,772407.7,97,6059,32768,37,279.73,1060656.35,13164303.65
2026-08-04T20:06:07+08:00,1,2,102.0,1839.2,8.67,77823.9,772407.7,98,5919,32768,36,289.34,1060656.53,13164292.47
2026-08-04T20:06:17+08:00,1,2,102.0,1839.5,8.33,77955.4,772407.7,91,5637,32768,36,254.02,1060656.62,13164286.38
2026-08-04T20:06:27+08:00,1,2,102.0,1839.5,8.53,78212.5,772407.7,73,5495,32768,36,238.46,1060656.73,13164293.27
2026-08-04T20:06:37+08:00,1,2,102.0,1883.1,8.66,78056.9,772407.7,79,1351,32768,33,76.01,1060656.71,13164300.29
2026-08-04T20:06:47+08:00,1,2,102.0,1935.5,8.34,78589.1,772407.7,83,5483,32768,36,206.84,1060656.82,13164300.18
2026-08-04T20:06:57+08:00,1,2,102.0,1935.2,8.05,77843.1,772407.7,97,5481,32768,38,262.61,1060657.34,13164304.66
2026-08-04T20:07:07+08:00,1,2,102.0,1935.6,8.03,77010.6,772407.7,95,5141,32768,37,252.40,1060657.39,13164321.61
2026-08-04T20:07:17+08:00,1,2,103.0,1935.4,7.55,77310.8,772407.7,98,4817,32768,37,269.90,1060657.54,13164375.46
2026-08-04T20:07:27+08:00,1,2,103.0,1935.5,7.87,78791.5,772407.7,89,4495,32768,36,232.93,1060657.59,13164379.41
2026-08-04T20:07:37+08:00,1,2,103.0,1839.6,8.11,77701.1,772407.7,90,6947,32768,36,210.52,1060657.69,13164405.31
2026-08-04T20:07:47+08:00,1,2,103.0,1839.8,8.49,77930.6,772407.7,96,6945,32768,37,251.91,1060657.73,13164436.27
2026-08-04T20:07:57+08:00,1,2,103.0,1839.8,8.34,78508.9,772407.7,96,6643,32768,38,289.63,1060657.85,13164427.15
2026-08-04T20:08:07+08:00,1,2,103.0,1839.7,8.43,77459.6,772407.7,96,6221,32768,37,255.63,1060658.04,13164415.96
2026-08-04T20:08:17+08:00,1,2,103.0,1839.9,8.67,77576.2,772407.7,96,6059,32768,37,300.12,1060658.13,13164388.87
2026-08-04T20:08:27+08:00,1,2,103.0,1839.9,8.81,78149.5,772407.7,97,5919,32768,37,285.45,1060658.21,13164384.79
2026-08-04T20:08:37+08:00,1,2,103.0,1839.9,8.54,77887.5,772407.7,97,5777,32768,37,260.35,1060658.30,13164377.70
2026-08-04T20:08:47+08:00,1,2,103.0,1839.8,8.85,77846.8,772407.7,59,5639,32768,35,304.01,1060658.41,13164373.59
2026-08-04T20:08:57+08:00,1,2,103.0,1881.5,8.56,77736.4,772407.7,76,1711,32768,33,71.51,1060658.54,13164368.46
2026-08-04T20:09:07+08:00,1,2,103.0,1946.3,8.09,77703.3,772407.7,85,5481,32768,36,105.11,1060658.67,13164345.33
2026-08-04T20:09:17+08:00,1,2,103.0,1935.8,8.54,78361.9,772407.7,93,5483,32768,37,254.83,1060658.80,13164344.20
2026-08-04T20:09:27+08:00,1,2,103.0,1935.9,8.07,77733.0,772407.7,98,5141,32768,38,255.48,1060658.91,13164344.09
2026-08-04T20:09:37+08:00,1,2,103.0,1935.7,8.29,78397.8,772407.7,97,4817,32768,37,259.54,1060658.86,13164328.14
2026-08-04T20:09:47+08:00,1,2,103.0,1935.9,8.15,78389.2,772407.7,83,4597,32768,36,302.55,1060659.28,13164317.72
2026-08-04T20:09:57+08:00,1,2,103.0,1935.9,8.18,77922.7,772407.7,88,4273,32768,35,206.63,1060660.71,13164310.29
2026-08-04T20:10:08+08:00,1,2,103.0,1839.7,8.24,77818.9,772407.7,93,6945,32768,36,220.46,1060660.90,13164265.10
2026-08-04T20:10:18+08:00,1,2,103.0,1839.9,8.27,78176.9,772407.7,97,6945,32768,38,274.58,1060661.17,13164219.83
2026-08-04T20:10:28+08:00,1,2,103.0,1839.8,8.51,78488.2,772407.7,95,6503,32768,37,277.19,1060661.29,13164181.71
2026-08-04T20:10:38+08:00,1,2,103.0,1839.8,8.12,78148.8,772407.7,97,6361,32768,37,261.63,1060661.47,13164128.53
2026-08-04T20:10:48+08:00,1,2,103.0,1839.6,7.56,77627.3,772407.7,97,6059,32768,37,300.03,1060661.63,13164083.37
2026-08-04T20:10:58+08:00,1,2,103.0,1839.9,9.87,78338.2,772407.7,96,5777,32768,37,291.58,1060652.08,13164063.92
2026-08-04T20:11:08+08:00,1,2,103.0,1839.9,9.35,78157.7,772407.7,40,5335,32768,34,223.87,1060653.00,13164040.00
2026-08-04T20:11:18+08:00,1,2,103.0,1990.5,9.52,78081.2,772407.7,74,3063,32768,35,74.93,1060653.16,13164023.84
2026-08-04T20:11:28+08:00,1,2,103.0,1935.9,8.82,78071.2,772407.7,89,5483,32768,36,199.58,1060655.55,13163993.45
2026-08-04T20:11:38+08:00,1,2,103.0,1935.7,8.63,78406.1,772407.7,95,5481,32768,37,299.26,1060659.45,13163978.55
2026-08-04T20:11:48+08:00,1,2,103.0,1935.9,8.53,78161.0,772407.7,95,5361,32768,37,296.73,1060659.60,13163970.40
2026-08-04T20:11:58+08:00,1,2,103.0,1935.9,8.44,77337.2,772407.7,96,5039,32768,37,261.00,1060659.80,13163984.20
2026-08-04T20:12:08+08:00,1,2,103.0,1935.8,8.06,77319.4,772407.7,97,4717,32768,37,257.26,1060661.22,13164011.78
2026-08-04T20:12:18+08:00,1,2,103.0,1935.9,7.66,76974.8,772407.7,99,4717,32768,37,270.69,1060661.63,13164005.37
2026-08-04T20:12:28+08:00,1,2,103.0,1935.8,7.49,76964.0,772407.7,80,4497,32768,37,238.13,1060661.81,13164031.19
2026-08-04T20:12:38+08:00,1,2,103.0,1935.6,8.27,76987.7,772407.7,89,4273,32768,35,223.38,1060662.65,13164043.35
2026-08-04T20:12:48+08:00,1,2,103.0,1839.9,8.23,76885.0,772407.7,96,6945,32768,37,208.85,1060663.13,13164057.87
2026-08-04T20:12:58+08:00,1,2,103.0,1839.9,8.20,76599.6,772407.7,95,6785,32768,37,274.45,1060663.32,13164067.68
2026-08-04T20:13:08+08:00,1,2,103.0,1840.0,7.87,76581.7,772407.7,97,6505,32768,37,299.64,1060663.53,13164080.47
2026-08-04T20:13:18+08:00,1,2,103.0,1839.9,8.19,76850.4,772407.7,96,6221,32768,37,260.00,1060663.74,13164088.26
2026-08-04T20:13:28+08:00,1,2,103.0,1840.3,8.62,78180.8,772407.7,96,6061,32768,37,291.39,1060663.94,13164164.06
2026-08-04T20:13:38+08:00,1,2,103.0,1840.0,8.68,78009.1,772407.7,97,5777,32768,36,278.64,1060664.16,13164184.84
2026-08-04T20:13:48+08:00,1,2,103.0,1839.7,8.58,78298.8,772407.7,84,5637,32768,36,287.21,1060664.38,13164206.62
2026-08-04T20:13:59+08:00,1,2,103.0,1839.9,8.27,78027.7,772407.7,57,5495,32768,35,240.07,1060664.65,13164209.35
2026-08-04T20:14:09+08:00,1,2,103.0,1883.1,7.99,77972.8,772407.7,86,1691,32768,33,75.86,1060664.30,13164217.70
2026-08-04T20:14:19+08:00,1,2,103.0,2008.4,7.70,77950.0,772407.7,77,1051,32768,34,72.49,1060665.01,13164225.99
2026-08-04T20:14:29+08:00,1,2,103.0,1935.8,7.37,78414.8,772407.7,92,5481,32768,36,188.37,1060665.23,13164225.77
2026-08-04T20:14:39+08:00,1,2,103.0,1935.7,7.69,78346.7,772407.7,95,5361,32768,37,254.84,1060665.27,13164240.73
2026-08-04T20:14:49+08:00,1,2,103.0,1935.9,8.46,78470.1,772407.7,96,5141,32768,37,288.47,1060665.81,13164234.19
2026-08-04T20:14:59+08:00,1,2,103.0,1935.9,8.52,77014.5,772407.7,95,4717,32768,37,266.80,1060665.91,13164234.09
2026-08-04T20:15:09+08:00,1,2,103.0,1935.8,8.37,77145.7,772407.7,77,4273,32768,35,214.28,1060665.96,13164268.04
2026-08-04T20:15:19+08:00,1,2,103.0,1839.9,8.23,77615.2,772407.7,96,6947,32768,37,219.49,1060665.89,13164274.11
2026-08-04T20:15:29+08:00,1,2,103.0,1839.9,8.50,77628.7,772407.7,96,6785,32768,37,259.69,1060665.94,13164261.06
2026-08-04T20:15:39+08:00,1,2,103.0,1839.6,8.59,77308.9,772407.7,97,6643,32768,37,279.43,1060666.00,13164265.00
2026-08-04T20:15:49+08:00,1,2,103.0,1839.8,8.72,78026.7,772407.7,96,6363,32768,37,255.80,1060666.07,13164264.93
2026-08-04T20:15:59+08:00,1,2,103.0,1839.9,8.30,78293.7,772407.7,96,6221,32768,37,277.37,1060660.87,13164257.13
2026-08-04T20:16:09+08:00,1,2,103.0,1839.7,8.34,77769.4,772407.7,98,6221,32768,37,288.18,1060660.93,13164255.07
2026-08-04T20:16:19+08:00,1,2,103.0,1839.9,7.75,78191.9,772407.7,99,6223,32768,37,287.88,1060660.97,13164239.03
2026-08-04T20:16:29+08:00,1,2,103.0,1839.9,8.25,77882.4,772407.7,98,6061,32768,37,266.18,1060661.01,13164262.99
2026-08-04T20:16:39+08:00,1,2,103.0,1839.9,8.99,77938.2,772407.7,97,5919,32768,37,286.91,1060661.19,13164360.81
2026-08-04T20:16:49+08:00,1,2,103.0,1839.8,9.54,77949.0,772407.7,91,5495,32768,36,244.29,1060661.25,13164360.75
2026-08-04T20:16:59+08:00,1,2,103.0,1883.4,9.68,77740.1,772407.7,73,1351,32768,34,75.37,1060661.36,13164370.64
2026-08-04T20:17:10+08:00,1,2,103.0,1935.9,9.72,77903.7,772407.7,98,5483,32768,37,211.50,1060661.42,13164390.58
2026-08-04T20:17:20+08:00,1,2,103.0,1935.9,9.23,78574.7,772407.7,97,5361,32768,37,290.61,1060661.40,13164441.60
2026-08-04T20:17:30+08:00,1,2,103.0,1936.1,8.58,78118.3,772407.7,97,5141,32768,37,291.87,1060661.83,13164505.17
2026-08-04T20:17:40+08:00,1,2,103.0,1935.6,8.19,78928.8,772407.7,97,4717,32768,37,258.55,1060661.91,13164561.09
2026-08-04T20:17:50+08:00,1,2,103.0,1935.9,8.00,79278.0,772407.7,82,4397,32768,36,245.75,1060662.00,13164535.00
2026-08-04T20:18:00+08:00,1,2,103.0,1839.9,8.38,79192.4,772407.7,90,6947,32768,37,237.64,1060662.02,13164528.98
2026-08-04T20:18:10+08:00,1,2,103.0,1839.7,8.41,79257.1,772407.7,97,6945,32768,37,227.76,1060662.06,13164523.94
2026-08-04T20:18:20+08:00,1,2,103.0,1839.9,8.75,78838.4,772407.7,96,6945,32768,37,273.60,1060661.93,13164522.07
2026-08-04T20:18:30+08:00,1,2,103.0,1839.9,8.62,78612.7,772407.7,96,6945,32768,38,297.89,1060661.97,13164518.03
2026-08-04T20:18:40+08:00,1,2,103.0,1839.9,8.06,78663.8,772407.7,98,6785,32768,37,253.37,1060662.17,13164528.83
2026-08-04T20:18:50+08:00,1,2,103.0,1839.8,7.59,77965.3,772407.7,97,6643,32768,38,249.48,1060662.29,13164536.71
2026-08-04T20:19:00+08:00,1,2,103.0,1839.8,7.57,78506.4,772407.7,95,6503,32768,37,251.10,1060662.39,13164528.61
