nohup: ignoring input
Mon Jun  1 00:55:56 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:27:30.261, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 272.99 W
Mon Jun  1 01:28:00 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:28:00.335, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 210.66 W
Mon Jun  1 01:28:30 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:28:30.420, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 280.29 W
Mon Jun  1 01:29:00 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:29:00.502, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 230.98 W
Mon Jun  1 01:29:30 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:29:30.594, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 237.95 W
Mon Jun  1 01:30:00 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:30:00.655, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 282.23 W
Mon Jun  1 01:30:30 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:30:30.731, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 241.21 W
Mon Jun  1 01:31:00 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:31:00.814, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 262.64 W
Mon Jun  1 01:31:30 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:31:30.885, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 280.59 W
Mon Jun  1 01:32:00 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:32:00.956, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 257.77 W
Mon Jun  1 01:32:30 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:32:31.017, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 251.91 W
Mon Jun  1 01:33:01 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:33:01.070, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 242.35 W
Mon Jun  1 01:33:31 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 01:33:31.139, Tesla V100-SXM2-32GB, 25721 MiB, 32768 MiB, 100 %, 267.33 W
Mon Jun  1 01:34:01 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
